person;trip_id;dep_time;trav_time;wait_time;distance;mode;start_link;start_x;start_y;end_link;end_x;end_y;access_stop_id;egress_stop_id;transit_line;transit_route;vehicle_id
p_0;p_0_1;07:00:00;00:27:01;00:00:00;1350;walk;33;466599.73455460084;5745151.5202814145;54;466000.0;5746000.0;;;;;
p_0;p_0_1;07:27:01;00:40:46;00:38:06;3000;pt;54;466000.0;5746000.0;50;463000.0;5746000.0;stop_54;stop_50;Bus_Line_2;dir_bwd;veh_Bus_Line_2_dir_bwd_2
p_0;p_0_1;08:07:47;00:00:00;00:00:00;0;walk;50;463000.0;5746000.0;52;463000.0;5746000.0;;;;;
p_0;p_0_1;08:07:47;00:57:27;00:55:03;3000;pt;52;463000.0;5746000.0;30;463000.0;5743000.0;stop_52;stop_30;Tram_Line_1;dir_bwd;veh_Tram_Line_1_dir_bwd_3
p_0;p_0_1;09:05:14;00:29:13;00:00:00;1460;walk;30;463000.0;5743000.0;23;461876.53846739576;5742991.259522611;;;;;
p_0;p_0_2;17:00:00;02:15:02;00:00:00;6751;walk;23;461876.53846739576;5742991.259522611;33;466599.73455460084;5745151.5202814145;;;;;
p_1;p_1_1;07:00:00;01:08:39;00:00:00;3432;walk;87;473929.5801209769;5750802.253083516;86;472000.0;5749000.0;;;;;
p_1;p_1_1;08:08:39;00:59:01;00:51:28;9000;pt;86;472000.0;5749000.0;20;472000.0;5740000.0;stop_86;stop_20;Train_Line_1;dir_bwd;veh_Train_Line_1_dir_bwd_3
p_1;p_1_1;09:07:40;00:00:00;00:00:00;0;walk;20;472000.0;5740000.0;18;472000.0;5740000.0;;;;;
p_1;p_1_1;09:07:40;00:54:45;00:52:21;3000;pt;18;472000.0;5740000.0;14;469000.0;5740000.0;stop_18;stop_14;Bus_Line_1;dir_bwd;veh_Bus_Line_1_dir_bwd_4
p_1;p_1_1;10:02:25;00:29:53;00:00:00;1493;walk;14;469000.0;5740000.0;15;469462.3019571013;5741051.908199884;;;;;
p_1;p_1_2;17:00:00;04:38:51;00:00:00;13942;walk;15;469462.3019571013;5741051.908199884;87;473929.5801209769;5750802.253083516;;;;;
p_2;p_2_1;07:00:00;01:10:04;00:00:00;3502;walk;97;472615.1241877565;5751623.108872409;86;472000.0;5749000.0;;;;;
p_2;p_2_1;08:10:04;00:52:39;00:50:05;3000;pt;86;472000.0;5749000.0;64;472000.0;5746000.0;stop_86;stop_64;Train_Line_1;dir_bwd;veh_Train_Line_1_dir_bwd_3
