person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
p_0;1;p_0_1;07:00:00;02:34:27;01:33:09;8811;5193;pt;pt;walk-pt-walk-pt-walk;home;work;null;33;466599.73455460084;5745151.5202814145;null;23;461876.53846739576;5742991.259522611;stop_54;stop_30
p_0;2;p_0_2;17:00:00;02:15:02;00:00:00;6752;5193;walk;walk;walk;work;home;null;23;461876.53846739576;5742991.259522611;null;33;466599.73455460084;5745151.5202814145;;
p_1;1;p_1_1;07:00:00;03:32:18;01:43:49;16926;10725;pt;pt;walk-pt-walk-pt-walk;home;work;null;87;473929.5801209769;5750802.253083516;null;15;469462.3019571013;5741051.908199884;stop_86;stop_14
p_1;2;p_1_2;17:00:00;04:38:51;00:00:00;13943;10725;walk;walk;walk;work;home;null;15;469462.3019571013;5741051.908199884;null;87;473929.5801209769;5750802.253083516;;
p_2;1;p_2_1;07:00:00;03:30:16;01:47:30;13776;8647;pt;pt;walk-pt-walk-pt-walk;home;work;null;97;472615.1241877565;5751623.108872409;null;55;465436.44586905465;5746801.5985777145;stop_86;stop_54
p_2;2;p_2_2;17:00:00;03:44:50;00:00:00;11242;8647;walk;walk;walk;work;home;null;55;465436.44586905465;5746801.5985777145;null;97;472615.1241877565;5751623.108872409;;
p_3;1;p_3_1;07:00:00;00:14:11;00:00:00;18000;11624;car;car;car;home;work;null;51;462352.97559227364;5747003.685604617;null;65;473940.04426759644;5747933.893529902;;
p_3;2;p_3_2;17:00:00;00:13:43;00:00:00;18000;11624;car;car;car;work;home;null;65;473940.04426759644;5747933.893529902;null;51;462352.97559227364;5747003.685604617;;
p_4;1;p_4_1;07:00:00;00:37:21;00:00:00;1868;1436;walk;walk;walk;home;work;null;79;469759.62783058715;5748598.893937768;null;81;469249.3392226976;5749942.058278879;;
p_4;2;p_4_2;17:00:00;00:37:21;00:00:00;1868;1436;walk;walk;walk;work;home;null;81;469249.3392226976;5749942.058278879;null;79;469759.62783058715;5748598.893937768;;
p_5;1;p_5_1;07:00:00;00:09:25;00:00:00;12000;4353;car;car;car;home;work;null;83;472862.4549852533;5749343.288448019;null;59;468968.1380443745;5747397.659254491;;
p_5;2;p_5_2;17:00:00;00:04:32;00:00:00;6000;4353;car;car;car;work;home;null;59;468968.1380443745;5747397.659254491;null;83;472862.4549852533;5749343.288448019;;
p_6;1;p_6_1;07:00:00;01:35:26;00:44:48;11156;8677;pt;pt;walk-pt-walk;home;work;null;49;465425.31884779956;5745632.138804941;null;61;474102.4176470867;5745616.325619648;stop_49;stop_61
p_6;2;p_6_2;17:00:00;03:45:36;00:00:00;11280;8677;walk;walk;walk;work;home;null;61;474102.4176470867;5745616.325619648;null;49;465425.31884779956;5745632.138804941;;
p_7;1;p_7_1;07:00:00;02:19:58;01:52:24;9999;7075;pt;pt;walk-pt-walk-pt-walk;home;work;null;37;468918.1292033522;5745817.1363401385;null;23;462431.96689317765;5742989.183947944;stop_58;stop_30
p_7;2;p_7_2;17:00:00;03:03:58;00:00:00;9199;7075;walk;walk;walk;work;home;null;23;462431.96689317765;5742989.183947944;null;37;468918.1292033522;5745817.1363401385;;
p_8;1;p_8_1;07:00:00;01:44:32;00:10:16;10464;4494;pt;pt;walk-pt-walk;home;work;null;51;461663.15360757505;5747616.762781579;null;27;464204.84017857374;5743910.240209587;stop_74;stop_30
p_8;2;p_8_2;17:00:00;01:56:51;00:00:00;5843;4494;walk;walk;walk;work;home;null;27;464204.84017857374;5743910.240209587;null;51;461663.15360757505;5747616.762781579;;
p_9;1;p_9_1;07:00:00;02:42:18;01:09:04;13301;8813;pt;pt;walk-pt-walk-pt-walk;home;work;null;67;461527.84674932586;5750149.4577558255;null;95;470264.4754214057;5751309.0786641585;stop_51;stop_93
p_9;2;p_9_2;17:00:00;03:49:08;00:00:00;11457;8813;walk;walk;walk;work;home;null;95;470264.4754214057;5751309.0786641585;null;67;461527.84674932586;5750149.4577558255;;
p_10;1;p_10_1;07:00:00;03:02:39;01:28:32;10453;3973;pt;walk;walk-pt-walk-pt-walk;home;work;null;19;471218.4159342003;5742204.013614348;null;31;467715.8810529368;5744079.59614304;stop_19;stop_58
p_10;2;p_10_2;17:00:00;01:43:18;00:00:00;5165;3973;walk;walk;walk;work;home;null;31;467715.8810529368;5744079.59614304;null;19;471218.4159342003;5742204.013614348;;
p_11;1;p_11_1;07:00:00;00:09:47;00:00:00;12000;5223;car;car;car;home;work;null;41;472409.32663042145;5744705.100673034;null;33;467193.0130795816;5744422.782666604;;
p_11;2;p_11_2;17:00:00;00:09:40;00:00:00;12000;5223;car;car;car;work;home;null;33;467193.0130795816;5744422.782666604;null;41;472409.32663042145;5744705.100673034;;
