vehIdList,vehicleTypeList,mainMode,travelTime,OZone,DZone,actstart,actend,startTime
p_136,undefined,car,28.0,zone_9_24,zone_11_26,home,work,25200.0
p_307,undefined,car,143.0,zone_11_0,zone_19_0,home,work,25200.0
p_345,undefined,car,143.0,zone_3_17,zone_11_16,home,work,25200.0
p_95,undefined,car,143.0,zone_16_12,zone_28_11,home,work,25200.0
p_325,undefined,car,143.0,zone_27_22,zone_27_25,home,work,25200.0
p_348,undefined,car,157.0,zone_20_21,zone_24_25,home,work,25200.0
,,pt,245.0,zone_21_6,zone_20_6,home,work,25200.0
p_480,undefined,car,272.0,zone_6_25,zone_12_23,home,work,25200.0
p_89,undefined,car,272.0,zone_20_17,zone_20_25,home,work,25200.0
p_82,undefined,car,272.0,zone_12_6,zone_27_5,home,work,25200.0
p_472,undefined,car,272.0,zone_23_9,zone_25_17,home,work,25200.0
p_49,undefined,car,272.0,zone_11_27,zone_29_29,home,work,25200.0
p_497,undefined,car,279.0,zone_20_17,zone_16_19,home,work,25200.0
p_220,undefined,car,279.0,zone_26_0,zone_25_2,home,work,25200.0
p_383,undefined,car,286.0,zone_18_17,zone_13_20,home,work,25200.0
p_80,undefined,car,286.0,zone_27_19,zone_20_21,home,work,25200.0
p_443,undefined,car,293.0,zone_15_20,zone_11_22,home,work,25200.0
p_197,undefined,car,293.0,zone_4_5,zone_16_5,home,work,25200.0
p_114,undefined,car,293.0,zone_26_20,zone_28_14,home,work,25200.0
p_179,undefined,car,293.0,zone_27_27,zone_24_28,home,work,25200.0
p_124,undefined,car,308.0,zone_7_20,zone_5_25,home,work,25200.0
p_78,undefined,car,408.0,zone_28_9,zone_15_16,home,work,25200.0
p_212,undefined,car,408.0,zone_15_25,zone_15_17,home,work,25200.0
p_91,undefined,car,408.0,zone_7_8,zone_5_27,home,work,25200.0
p_64,undefined,car,408.0,zone_12_21,zone_6_23,home,work,25200.0
p_339,undefined,car,408.0,zone_13_10,zone_10_5,home,work,25200.0
p_250,undefined,car,408.0,zone_27_0,zone_28_7,home,work,25200.0
p_430,undefined,car,408.0,zone_5_1,zone_6_12,home,work,25200.0
p_362,undefined,car,415.0,zone_1_11,zone_18_20,home,work,25200.0
p_70,undefined,car,415.0,zone_3_3,zone_15_12,home,work,25200.0
p_482,undefined,car,415.0,zone_19_0,zone_14_11,home,work,25200.0
p_346,undefined,car,415.0,zone_11_10,zone_10_19,home,work,25200.0
p_389,undefined,car,415.0,zone_0_9,zone_7_21,home,work,25200.0
p_301,undefined,car,415.0,zone_16_3,zone_6_14,home,work,25200.0
p_229,undefined,car,415.0,zone_15_8,zone_22_8,home,work,25200.0
p_223,undefined,car,415.0,zone_7_14,zone_0_26,home,work,25200.0
p_47,undefined,car,422.0,zone_23_21,zone_15_20,home,work,25200.0
p_59,undefined,car,422.0,zone_14_24,zone_10_18,home,work,25200.0
p_112,undefined,car,422.0,zone_5_11,zone_0_22,home,work,25200.0
p_35,undefined,car,422.0,zone_5_22,zone_13_12,home,work,25200.0
p_184,undefined,car,422.0,zone_12_10,zone_21_21,home,work,25200.0
p_432,undefined,car,422.0,zone_9_23,zone_2_25,home,work,25200.0
p_24,undefined,car,422.0,zone_12_10,zone_12_4,home,work,25200.0
p_195,undefined,car,422.0,zone_23_14,zone_28_5,home,work,25200.0
p_395,undefined,car,422.0,zone_7_5,zone_21_7,home,work,25200.0
p_153,undefined,car,422.0,zone_16_8,zone_13_2,home,work,25200.0
p_334,undefined,car,429.0,zone_22_0,zone_15_12,home,work,25200.0
p_258,undefined,car,429.0,zone_21_17,zone_13_15,home,work,25200.0
p_238,undefined,car,429.0,zone_2_8,zone_2_25,home,work,25200.0
p_170,undefined,car,429.0,zone_8_14,zone_14_5,home,work,25200.0
p_237,undefined,car,429.0,zone_7_20,zone_21_28,home,work,25200.0
p_105,undefined,car,429.0,zone_15_0,zone_4_8,home,work,25200.0
p_42,undefined,car,436.0,zone_15_18,zone_10_17,home,work,25200.0
p_267,undefined,car,436.0,zone_7_27,zone_25_29,home,work,25200.0
