vehIdList,vehicleTypeList,mainMode,startTime,travelTime
p_136,undefined,car,25200.0,28.0
p_307,undefined,car,25200.0,143.0
p_345,undefined,car,25200.0,143.0
p_95,undefined,car,25200.0,143.0
p_325,undefined,car,25200.0,143.0
p_348,undefined,car,25200.0,157.0
p_480,undefined,car,25200.0,272.0
p_89,undefined,car,25200.0,272.0
p_82,undefined,car,25200.0,272.0
p_472,undefined,car,25200.0,272.0
p_49,undefined,car,25200.0,272.0
p_497,undefined,car,25200.0,279.0
p_220,undefined,car,25200.0,279.0
p_383,undefined,car,25200.0,286.0
p_80,undefined,car,25200.0,286.0
p_443,undefined,car,25200.0,293.0
p_197,undefined,car,25200.0,293.0
p_114,undefined,car,25200.0,293.0
p_179,undefined,car,25200.0,293.0
p_124,undefined,car,25200.0,308.0
p_78,undefined,car,25200.0,408.0
p_212,undefined,car,25200.0,408.0
p_91,undefined,car,25200.0,408.0
p_64,undefined,car,25200.0,408.0
p_339,undefined,car,25200.0,408.0
p_250,undefined,car,25200.0,408.0
p_430,undefined,car,25200.0,408.0
p_362,undefined,car,25200.0,415.0
p_70,undefined,car,25200.0,415.0
p_482,undefined,car,25200.0,415.0
p_346,undefined,car,25200.0,415.0
p_389,undefined,car,25200.0,415.0
p_301,undefined,car,25200.0,415.0
p_229,undefined,car,25200.0,415.0
p_223,undefined,car,25200.0,415.0
p_47,undefined,car,25200.0,422.0
p_59,undefined,car,25200.0,422.0
p_112,undefined,car,25200.0,422.0
p_35,undefined,car,25200.0,422.0
p_184,undefined,car,25200.0,422.0
p_432,undefined,car,25200.0,422.0
p_24,undefined,car,25200.0,422.0
p_195,undefined,car,25200.0,422.0
p_395,undefined,car,25200.0,422.0
p_153,undefined,car,25200.0,422.0
p_334,undefined,car,25200.0,429.0
p_258,undefined,car,25200.0,429.0
p_238,undefined,car,25200.0,429.0
p_170,undefined,car,25200.0,429.0
p_237,undefined,car,25200.0,429.0
p_105,undefined,car,25200.0,429.0
p_42,undefined,car,25200.0,436.0
p_267,undefined,car,25200.0,436.0
p_65,undefined,car,25200.0,444.0
p_308,undefined,car,25200.0,451.0
p_100,undefined,car,25200.0,451.0
p_401,undefined,car,25200.0,451.0
p_328,undefined,car,25200.0,458.0
p_131,undefined,car,25200.0,458.0
p_16,undefined,car,25200.0,472.0
p_391,undefined,car,25200.0,544.0
p_88,undefined,car,25200.0,544.0
p_84,undefined,car,25200.0,544.0
p_407,undefined,car,25200.0,551.0
p_213,undefined,car,25200.0,551.0
p_442,undefined,car,25200.0,551.0
p_371,undefined,car,25200.0,551.0
p_149,undefined,car,25200.0,551.0
p_202,undefined,car,25200.0,551.0
p_29,undefined,car,25200.0,558.0
p_449,undefined,car,25200.0,558.0
p_322,undefined,car,25200.0,558.0
p_402,undefined,car,25200.0,558.0
p_441,undefined,car,25200.0,558.0
p_462,undefined,car,25200.0,558.0
p_25,undefined,car,25200.0,558.0
p_40,undefined,car,25200.0,558.0
p_261,undefined,car,25200.0,565.0
p_384,undefined,car,25200.0,565.0
p_5,undefined,car,25200.0,565.0
p_377,undefined,car,25200.0,565.0
p_204,undefined,car,25200.0,565.0
p_309,undefined,car,25200.0,565.0
p_281,undefined,car,25200.0,565.0
p_259,undefined,car,25200.0,565.0
p_236,undefined,car,25200.0,565.0
p_172,undefined,car,25200.0,565.0
p_452,undefined,car,25200.0,572.0
p_296,undefined,car,25200.0,572.0
p_280,undefined,car,25200.0,572.0
p_210,undefined,car,25200.0,580.0
p_20,undefined,car,25200.0,587.0
p_11,undefined,car,25200.0,587.0
p_200,undefined,car,25200.0,594.0
p_277,undefined,car,25200.0,594.0
p_174,undefined,car,25200.0,601.0
p_326,undefined,car,25200.0,680.0
p_99,undefined,car,25200.0,680.0
p_338,undefined,car,25200.0,680.0
p_171,undefined,car,25200.0,680.0
p_495,undefined,car,25200.0,680.0
p_365,undefined,car,25200.0,680.0
p_349,undefined,car,25200.0,687.0
p_320,undefined,car,25200.0,687.0
p_43,undefined,car,25200.0,687.0
p_404,undefined,car,25200.0,687.0
p_492,undefined,car,25200.0,687.0
p_294,undefined,car,25200.0,687.0
p_385,undefined,car,25200.0,687.0
p_387,undefined,car,25200.0,694.0
p_157,undefined,car,25200.0,694.0
p_79,undefined,car,25200.0,694.0
p_13,undefined,car,25200.0,694.0
p_166,undefined,car,25200.0,694.0
p_83,undefined,car,25200.0,694.0
p_190,undefined,car,25200.0,694.0
p_400,undefined,car,25200.0,701.0
p_135,undefined,car,25200.0,701.0
p_186,undefined,car,25200.0,701.0
p_219,undefined,car,25200.0,708.0
p_293,undefined,car,25200.0,716.0
p_235,undefined,car,25200.0,716.0
p_406,undefined,car,25200.0,716.0
p_243,undefined,car,25200.0,723.0
p_19,undefined,car,25200.0,730.0
p_12,undefined,car,25200.0,737.0
p_312,undefined,car,25200.0,816.0
p_31,undefined,car,25200.0,816.0
p_448,undefined,car,25200.0,816.0
p_53,undefined,car,25200.0,816.0
p_411,undefined,car,25200.0,830.0
p_489,undefined,car,25200.0,830.0
p_199,undefined,car,25200.0,837.0
p_45,undefined,car,25200.0,837.0
p_263,undefined,car,25200.0,837.0
p_3,undefined,car,25200.0,851.0
p_240,undefined,car,25200.0,852.0
p_122,undefined,car,25200.0,859.0
p_104,undefined,car,25200.0,859.0
p_181,undefined,car,25200.0,888.0
p_353,undefined,car,25200.0,952.0
p_218,undefined,car,25200.0,952.0
p_208,undefined,car,25200.0,952.0
p_98,undefined,car,25200.0,959.0
p_274,undefined,car,25200.0,959.0
p_225,undefined,car,25200.0,959.0
p_66,undefined,car,25200.0,973.0
p_194,undefined,car,25200.0,973.0
p_121,undefined,car,25200.0,973.0
p_106,undefined,car,25200.0,980.0
p_37,undefined,car,25200.0,1088.0
p_86,undefined,car,25200.0,1102.0
p_367,undefined,car,25200.0,1238.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,4533.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,4559.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,25200.0,4757.0
veh_Bus_Line_3_dir_bwd_2,bus_type,pt,25200.0,4964.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,5016.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5071.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5149.0
veh_Train_Line_1_dir_fwd_2,train_type,pt,25200.0,5247.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5308.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,25200.0,5321.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,5329.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,25200.0,5429.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,5450.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,5464.0
veh_Train_Line_1_dir_fwd_2,train_type,pt,25200.0,5536.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,5577.0
veh_Train_Line_1_dir_bwd_2,train_type,pt,25200.0,5641.0
veh_Tram_Line_1_dir_bwd_2;veh_Bus_Line_2_dir_bwd_2,tram_type;bus_type,pt,25200.0,5665.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5726.0
veh_Bus_Line_1_dir_fwd_2,bus_type,pt,25200.0,5814.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,5821.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,5825.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5828.0
veh_Bus_Line_2_dir_fwd_2,bus_type,pt,25200.0,5941.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,5982.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,6067.0
veh_Bus_Line_3_dir_fwd_2,bus_type,pt,25200.0,6121.0
veh_Bus_Line_1_dir_bwd_2,bus_type,pt,25200.0,6178.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,6272.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,6294.0
veh_Tram_Line_1_dir_bwd_2,tram_type,pt,25200.0,6339.0
veh_Bus_Line_2_dir_bwd_2,bus_type,pt,25200.0,6351.0
veh_Train_Line_1_dir_fwd_2,train_type,pt,25200.0,6384.0
